Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
16-17,Edmonton Oilers*,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7
16-17,Florida Panthers,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,5.32,152,187,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4
16-17,Los Angeles Kings,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,4.88,148,160,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9
16-17,Minnesota Wild*,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5
16-17,Montreal Canadiens*,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5
16-17,Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4
16-17,New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3
16-17,New York Islanders,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5
16-17,New York Rangers*,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7
16-17,Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10
16-17,Philadelphia Flyers,27.6,82,39,33,10,88,0.537,212,231,7,5,-0.17,0.04,5.4,154,172,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5
16-17,Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5
16-17,San Jose Sharks*,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3
16-17,St. Louis Blues*,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8
16-17,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,230,224,4,3,0.09,0.01,5.54,164,168,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3
16-17,Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5
16-17,Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3
16-17,Washington Capitals*,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12
16-17,Winnipeg Jets,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,6.11,188,184,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5
15-16,Anaheim Ducks*,27.4,82,46,25,11,103,0.628,215,188,3,4,0.27,-0.05,4.91,152,148,56,245,22.86,37,290,87.24,7,3,12.5,11.1,2483,8.7,2258,0.917,8
15-16,Arizona Coyotes,27.6,82,35,39,8,78,0.476,208,244,1,1,-0.43,0.01,5.51,151,161,53,300,17.67,69,304,77.3,4,14,12.3,11.5,2265,9.2,2539,0.904,5
15-16,Boston Bruins,28.8,82,42,31,9,93,0.567,236,228,4,2,0.11,-0.02,5.66,179,176,48,234,20.51,48,270,82.22,9,4,11.4,10.4,2620,9,2490,0.908,5
15-16,Buffalo Sabres,26.2,82,35,36,11,81,0.494,199,215,2,7,-0.25,0.01,5.05,145,171,48,254,18.9,38,218,82.57,6,6,9.1,10.2,2418,8.2,2511,0.914,2
15-16,Calgary Flames,27.7,82,35,40,7,77,0.47,229,257,2,3,-0.36,-0.01,5.93,173,193,46,270,17.04,57,234,75.64,10,7,9.2,9.5,2398,9.5,2377,0.892,3
15-16,Carolina Hurricanes,27,82,35,31,16,86,0.524,196,221,2,5,-0.31,0.03,5.09,153,184,40,238,16.81,32,204,84.31,3,5,6.9,7.7,2451,8,2261,0.902,3
15-16,Chicago Blackhawks*,28.6,82,47,26,9,103,0.628,234,207,1,2,0.32,0,5.38,167,158,57,252,22.62,46,233,80.26,10,3,7.5,8.6,2498,9.4,2526,0.918,8
15-16,Colorado Avalanche,28.3,82,39,39,4,82,0.5,212,240,4,0,-0.26,0.03,5.51,157,180,48,266,18.05,51,258,80.23,7,9,9.4,9.4,2348,9,2649,0.909,5
15-16,Columbus Blue Jackets,26.5,82,34,40,8,76,0.463,213,248,6,4,-0.38,0.03,5.62,167,187,43,248,17.34,53,279,81,3,8,12.1,10.7,2387,8.9,2550,0.903,1
15-16,Dallas Stars*,28.9,82,50,23,9,109,0.665,265,228,2,2,0.45,-0.01,6.01,197,169,58,262,22.14,44,248,82.26,10,15,8.8,9,2624,10.1,2371,0.904,5
15-16,Detroit Red Wings*,28.7,82,41,30,11,93,0.567,209,219,2,5,-0.16,0,5.22,157,165,50,266,18.8,50,271,81.55,2,4,8.8,9.1,2432,8.6,2439,0.91,6
15-16,Edmonton Oilers,26.4,82,31,43,8,70,0.427,199,242,4,3,-0.51,0,5.38,151,188,43,237,18.14,49,254,80.71,5,6,9.7,9.2,2386,8.3,2548,0.905,3
15-16,Florida Panthers*,29.2,82,47,26,9,103,0.628,232,200,7,3,0.42,-0.02,5.27,180,140,47,278,16.91,55,268,79.48,5,5,10.4,10.4,2358,9.8,2419,0.917,4
15-16,Los Angeles Kings*,28.3,82,48,28,6,102,0.622,223,192,2,3,0.32,-0.04,5.06,171,136,47,235,20,53,285,81.4,5,3,10.6,9.1,2625,8.5,2254,0.915,7
15-16,Minnesota Wild*,28,82,38,33,11,87,0.53,213,204,3,2,0.13,0.01,5.09,158,153,48,259,18.53,45,204,77.94,7,6,6.6,8.6,2374,9,2347,0.913,8
15-16,Montreal Canadiens,28,82,38,38,6,82,0.5,216,233,5,3,-0.18,0,5.48,166,176,42,259,16.22,46,254,81.89,8,11,9.4,9.9,2504,8.6,2408,0.903,3
15-16,Nashville Predators*,28.4,82,41,27,14,96,0.585,224,213,4,2,0.17,0.01,5.33,166,165,51,259,19.69,46,245,81.22,7,2,9.9,9.8,2507,8.9,2242,0.905,6
15-16,New Jersey Devils,27.9,82,38,36,8,84,0.512,182,202,2,6,-0.28,0.02,4.68,126,149,51,256,19.92,45,264,82.95,5,8,9.9,9.2,2003,9.1,2349,0.914,7
15-16,New York Islanders*,27.9,82,45,27,10,100,0.61,227,211,5,5,0.19,0,5.34,178,169,43,229,18.78,36,232,84.48,7,6,8.8,9.2,2412,9.4,2495,0.915,4
15-16,New York Rangers*,29.6,82,46,27,9,101,0.616,233,215,3,2,0.24,0.01,5.46,188,157,42,226,18.58,53,243,78.19,3,5,8.6,8.3,2336,10,2494,0.914,5
15-16,Ottawa Senators,27,82,38,35,9,85,0.518,230,241,6,6,-0.13,0.01,5.74,175,177,38,239,15.9,61,253,75.89,17,3,10.9,11,2325,9.9,2688,0.91,5
