Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
St. Louis Blues*,08-09,82,92,0.561,227,227,20.51,83.75,10,0.903,3780.63,2.18,2.35,26.92,27.85,38.07,39.37,48.35,52.21,2.09,2.11
Tampa Bay Lightning,08-09,82,66,0.402,207,269,17.78,78.02,8.9,0.9,3769.67,2.09,2.52,27.4,31.62,37.23,42.58,48.81,55.88,2.04,2.22
Toronto Maple Leafs,08-09,82,81,0.494,244,286,18.79,74.68,9.4,0.885,3901.4,2.58,2.87,29.91,29.85,42.57,43.49,56.84,58.78,2.31,2.43
Vancouver Canucks*,08-09,82,100,0.61,243,213,18.77,81.4,10.4,0.911,3705.7,2.49,1.97,27.49,28.36,38.24,39.5,50.42,51.09,2.23,2.25
Washington Capitals*,08-09,82,108,0.659,268,240,25.22,80.62,9.8,0.901,3831.18,2.51,2.26,33.2,27.33,46.19,37.42,63.25,50.5,2.69,2.18
Anaheim Ducks*,07-08,82,102,0.622,197,184,16.62,83.09,8.8,0.92,3747.72,1.9,1.61,26.2,26.07,36.56,35.45,46.41,43.92,1.91,2
Atlanta Thrashers,07-08,82,76,0.463,207,266,16.46,78.81,9.8,0.904,3879.47,1.95,2.72,24.07,33.81,32.02,44.76,41.82,58.08,1.85,2.44
Boston Bruins*,07-08,82,94,0.573,206,215,17.55,78.61,8.8,0.914,3841.8,2.01,1.96,28.37,28.7,39.31,38.32,51.6,48.72,1.97,2.09
Buffalo Sabres,07-08,82,90,0.549,251,233,18.03,83.18,10.1,0.9,3760.13,2.61,2.51,29.03,28.21,38.57,38.65,49.85,51.53,2.12,2.1
Calgary Flames*,07-08,82,94,0.573,226,224,16.76,81.49,9.8,0.904,3749.43,2.4,2.18,27.74,27.34,39.22,37.48,51.6,46.16,2.25,1.99
Carolina Hurricanes,07-08,82,92,0.561,250,246,18.81,78.87,9.4,0.896,3689.98,2.51,2.43,32.14,28.39,43.86,40.01,58.29,53.47,2.51,2.38
Chicago Blackhawks,07-08,82,88,0.537,234,231,15.89,82.08,10.2,0.902,3660,2.44,2.32,27.93,28.17,35.91,35.77,45.95,45.71,2.1,2.18
Colorado Avalanche*,07-08,82,95,0.579,224,216,14.63,81.4,9.5,0.903,3875.07,2.45,2.18,27.88,27.08,36.77,37.76,46.9,51.01,2.24,2.01
Columbus Blue Jackets,07-08,82,80,0.488,190,210,14.89,83.33,8,0.907,3760.85,1.91,2.15,28.5,26.38,38.23,34.64,49.24,45.2,2.02,1.75
Dallas Stars*,07-08,82,97,0.591,237,204,18.08,85.59,10.8,0.905,3764.03,2.3,2.14,26.23,25.4,36.71,35.6,48.65,44.91,1.95,1.9
Detroit Red Wings*,07-08,82,115,0.701,252,179,20.72,84.03,8.9,0.907,3755.38,2.4,1.72,33.34,22.66,46.11,31.12,58.17,39.3,2.33,1.78
Edmonton Oilers,07-08,82,88,0.537,220,247,16.57,84.7,10.2,0.904,3819.52,2.31,2.61,26.24,30.53,36.86,43.1,48.37,57.08,2.15,2.37
Florida Panthers,07-08,82,85,0.518,211,220,19.17,82.35,8.3,0.92,3840.07,2.14,2.2,30.01,32.76,40.66,44.14,52.54,55.24,2.08,2.33
Los Angeles Kings,07-08,82,71,0.433,226,263,17.44,77.99,9.6,0.9,3808.77,2.21,2.84,26.54,32.42,36.98,46.01,48.21,59.32,2.15,2.64
Minnesota Wild*,07-08,82,98,0.598,220,210,18.93,85.15,9.9,0.915,3814.23,2.25,2.24,25.64,29.25,36.71,40.18,48.54,51.12,1.75,1.93
Montreal Canadiens*,07-08,82,104,0.634,257,216,24.06,82.46,10.8,0.917,3797.75,2.33,2.26,27.46,30.53,38.3,42.73,52.02,58.85,2.11,2.34
Nashville Predators*,07-08,82,91,0.555,227,224,14.8,85.37,9.4,0.908,3780.92,2.44,2.45,29.34,30.14,40.22,39.89,51.69,50.39,2.36,2.24
New Jersey Devils*,07-08,82,99,0.604,198,193,15.63,82.8,8.4,0.914,3881.17,2.06,1.89,27.42,25.89,38.03,35.03,49.89,45.19,2.1,1.92
New York Islanders,07-08,82,79,0.482,189,240,14.55,81.87,7.8,0.904,3766.78,1.96,2.26,29.3,29.16,39.56,40.66,53.21,54.25,2.39,2.38
New York Rangers*,07-08,82,97,0.591,205,190,16.49,84.55,7.9,0.911,3834.03,2.11,1.9,30.44,24.73,42.38,34.06,54.64,45.63,2.39,2.2
Ottawa Senators*,07-08,82,94,0.573,258,242,18.29,81.05,10.4,0.901,3773.65,2.7,2.45,29.92,28.81,40.6,39.42,54.45,51.05,2.32,2.32
Philadelphia Flyers*,07-08,82,95,0.579,245,227,21.82,83.25,10.4,0.913,3717.18,2.19,2.37,27.68,31.81,37.96,42.95,50.04,57.27,2.22,2.34
Phoenix Coyotes,07-08,82,83,0.506,209,225,18.58,80.72,8.4,0.911,3860.7,1.95,2.14,30.1,30.76,40.72,42.86,51.98,54.99,2.1,2.34
Pittsburgh Penguins*,07-08,82,102,0.622,240,212,20.37,80.95,10.6,0.916,3713.33,2.34,1.99,26.82,30.27,37.22,42.54,47.73,56.28,2.18,2.11
San Jose Sharks*,07-08,82,108,0.659,216,187,18.72,85.81,8.9,0.906,3830,2.12,1.94,28.74,22.74,40.16,31.88,52.06,43.25,2.35,1.8
St. Louis Blues,07-08,82,79,0.482,202,232,14.07,84.4,9.4,0.897,3797.9,2.23,2.36,26.52,26.91,36.39,38.56,45.58,50.38,1.95,2.17
Tampa Bay Lightning,07-08,82,71,0.433,221,266,19.26,82.05,9.4,0.885,3921.03,2.16,2.75,27.65,27.45,37.89,37.99,49.78,51.07,2.03,2.06
Toronto Maple Leafs,07-08,82,83,0.506,228,256,17.78,78.13,9,0.893,3767.62,2.45,2.51,30.07,28.14,42.37,40.12,55.51,52.95,2.3,2.32
Vancouver Canucks,07-08,82,88,0.537,207,206,17.07,82.61,9.2,0.913,3775.43,2.07,2.08,25.86,27.84,36.5,39.44,47.1,51.45,1.93,2.11
Washington Capitals*,07-08,82,94,0.573,238,227,18.79,80.52,9.4,0.9,3805.92,2.51,2.19,31.22,25.83,43.83,35.15,59.01,46.52,2.41,1.97
