,Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
65,Buffalo Sabres,16-17,82,78,0.476,199,231,24.46,77.64,8,0.918,4129.33,1.9,2.37,29.35,32.68,39.94,44.38,52.02,57.83,2.11,2.32,0,78
66,Calgary Flames*,16-17,82,94,0.573,222,219,20.16,81.59,9.3,0.907,3992.88,2.28,2.24,28.6,27.87,39.36,39.22,53.72,52.71,2.19,2.3,1,94
67,Carolina Hurricanes,16-17,82,87,0.53,212,230,17.75,84.16,8.5,0.901,4186.9,2.15,2.58,29.22,28.86,41.31,40.71,56.25,53.72,2.52,2.45,0,87
68,Chicago Blackhawks*,16-17,82,109,0.665,240,212,18.03,77.73,9.6,0.918,4163,2.52,2.12,29.95,30.44,40.21,40.41,55.79,55.04,2.39,2.44,1,109
69,Colorado Avalanche,16-17,82,48,0.293,165,276,12.55,76.64,7.2,0.894,4021.22,1.82,2.91,27.62,31.62,38.64,42.49,52.43,55.54,1.9,2.32,0,48
70,Columbus Blue Jackets*,16-17,82,108,0.659,247,193,19.91,82.51,9.7,0.922,4136.38,2.65,2,31.22,29.39,41.95,40.75,56.06,54.83,2.54,2.43,1,108
71,Dallas Stars,16-17,82,79,0.482,222,260,17.9,73.9,8.9,0.893,4072.17,2.27,2.49,29.76,29.09,42.43,41.71,58.04,58.02,2.48,2.59,0,79
72,Detroit Red Wings,16-17,82,79,0.482,198,244,15.08,80.85,8.5,0.903,4133.75,2.18,2.57,27.81,29.7,38.59,41.29,50.26,53.81,2.2,2.41,0,79
73,Edmonton Oilers*,16-17,82,103,0.628,243,207,22.86,80.72,9.5,0.914,4124.55,2.49,2.11,30.08,28.63,41.12,39.26,54.94,54.57,2.59,2.44,1,103
74,Florida Panthers,16-17,82,81,0.494,205,231,16.98,85.31,7.8,0.911,4063.42,2.08,2.54,30.43,31.38,41.68,41.42,53.94,52.86,2.18,2.39,0,81
75,Los Angeles Kings,16-17,82,86,0.524,199,201,19.09,84.49,7.8,0.905,4080.72,2.04,2.1,30.6,25.38,44.14,36.49,59.83,49.17,2.46,2.16,0,86
76,Minnesota Wild*,16-17,82,106,0.646,263,206,20.98,82.95,10.4,0.916,4151.47,2.76,2.27,30.24,29.6,41.19,41.22,54.1,55.4,2.41,1.91,1,106
77,Montreal Canadiens*,16-17,82,103,0.628,223,198,19.57,81.12,9.1,0.918,4145.78,2.37,1.98,30.62,28.83,42.53,38.73,58.8,53.3,2.46,2.22,1,103
78,Nashville Predators*,16-17,82,94,0.573,238,220,18.92,80.91,9.3,0.911,4082.63,2.42,2.2,30.94,29.38,42.68,41.31,57.54,54.89,2.32,2.17,1,94
79,New Jersey Devils,16-17,82,70,0.427,180,241,17.53,79.69,7.9,0.906,4065.75,1.8,2.33,27.39,30.62,37.72,41.5,48.67,53.89,2.14,2.38,0,70
80,New York Islanders,16-17,82,94,0.573,239,238,14.96,82.38,9.6,0.909,4135.13,2.7,2.58,29.8,31.14,40.45,43.96,54.89,60.26,2.49,2.66,0,94
81,New York Rangers*,16-17,82,102,0.622,253,216,20.26,79.91,10.4,0.912,4132.43,2.57,2.27,28.52,29.85,40.12,41.76,52.86,57.02,2.45,2.51,1,102
82,Ottawa Senators*,16-17,82,98,0.598,206,210,16.93,79.76,8.4,0.915,4091.72,2.05,2.2,29.56,29.39,40.15,41.92,54.8,58,2.22,2.31,1,98
83,Philadelphia Flyers,16-17,82,88,0.537,212,231,19.49,79.76,8.2,0.901,4062.02,2.01,2.33,29.56,28.17,41.51,38.94,57.71,54.86,2.3,2.3,0,88
84,Pittsburgh Penguins*,16-17,82,111,0.677,278,229,23.08,79.77,10.1,0.914,4098.28,2.88,2.34,32.96,31.37,43.6,41.87,57.7,57.76,2.82,2.57,1,111
85,San Jose Sharks*,16-17,82,99,0.604,219,200,16.67,80.66,8.9,0.912,4089.43,2.32,2.07,28.93,26.82,42.02,38.68,58,55.24,2.46,2.26,1,99
86,St. Louis Blues*,16-17,82,99,0.604,233,216,21.28,84.79,10,0.907,4052.95,2.38,2.21,28.11,27.62,38.92,38.22,52.12,51.83,2.13,2.08,1,99
87,Tampa Bay Lightning,16-17,82,94,0.573,230,224,22.79,81.4,9.4,0.91,4038.37,2.21,2.27,29.08,29.43,41.42,40.4,55.11,52.34,2.25,2.16,0,94
88,Toronto Maple Leafs*,16-17,82,95,0.579,250,234,23.36,82.47,9.6,0.912,4098.17,2.59,2.47,30.83,31.52,44.68,44.92,59.79,58.56,2.77,2.64,1,95
89,Vancouver Canucks,16-17,82,69,0.421,178,241,14.1,76.68,7.8,0.907,4124.9,1.93,2.4,27.19,31.03,37.06,42.12,50.49,54.81,2.07,2.48,0,69
90,Washington Capitals*,16-17,82,118,0.72,261,177,22.98,83.82,10.5,0.922,4035.78,2.74,1.78,29.73,27.64,41.3,39.22,55.89,52.14,2.35,2.28,1,118
91,Winnipeg Jets,16-17,82,87,0.53,246,255,18.18,77.45,10,0.9,4002.37,2.52,2.53,28.68,30.01,39.4,40.4,52.29,53.98,2.41,2.3,0,87
92,Anaheim Ducks*,15-16,82,103,0.628,215,188,22.86,87.24,8.7,0.917,4010.23,2.03,2.08,29.56,26.57,42.36,37.37,56.3,51.09,2.38,2.1,1,103
93,Arizona Coyotes,15-16,82,78,0.476,208,244,17.67,77.3,9.2,0.904,3886.93,2.11,2.28,26.83,30.72,38.02,44.21,51.4,58.35,2.01,2.31,0,78
94,Boston Bruins,15-16,82,93,0.567,236,228,20.51,82.22,9,0.908,4067.43,2.42,2.35,31.21,30.18,41.73,42.31,55.04,56.04,2.17,2.23,0,93
95,Buffalo Sabres,15-16,82,81,0.494,199,215,18.9,82.57,8.2,0.914,4106.38,1.84,2.26,27.78,29.95,37.77,41.93,49.97,55.2,1.97,2.16,0,81
96,Calgary Flames,15-16,82,77,0.47,229,257,17.04,75.64,9.5,0.892,4074.6,2.37,2.55,28.24,28.6,38.73,40.88,53.26,57.19,2.26,2.34,0,77
97,Carolina Hurricanes,15-16,82,86,0.524,196,221,16.81,84.31,8,0.902,4177.77,2.01,2.43,28.57,27.6,40.67,39.64,54.65,51.79,2.41,2.44,0,86
98,Chicago Blackhawks*,15-16,82,103,0.628,234,207,22.62,80.26,9.4,0.918,4098.02,2.14,2.17,29.99,29.81,40.23,40.16,55.4,54.14,2.24,2.37,1,103
99,Colorado Avalanche,15-16,82,82,0.5,212,240,18.05,80.23,9,0.909,3984.17,2.12,2.35,27.41,32.05,37.11,45,49.11,62.21,1.92,2.48,0,82
100,Columbus Blue Jackets,15-16,82,76,0.463,213,248,17.34,81,8.9,0.903,4025.07,2.22,2.46,28.74,29.95,39.2,41.44,52.58,56.69,2.58,2.47,0,76
101,Dallas Stars*,15-16,82,109,0.665,265,228,22.14,82.26,10.1,0.904,4056.32,2.54,2.41,31.28,28.36,45.09,40.97,61.3,55.5,2.68,2.43,1,109
102,Detroit Red Wings*,15-16,82,93,0.567,209,219,18.8,81.55,8.6,0.91,4028.63,2.09,2.19,28.98,29.06,40.05,39.29,52.96,48.98,2.35,2.31,1,93
103,Edmonton Oilers,15-16,82,70,0.427,199,242,18.14,80.71,8.3,0.905,4049.7,2.07,2.58,28.62,30.21,39.44,42.06,54.34,56.76,2.37,2.47,0,70
104,Florida Panthers*,15-16,82,103,0.628,232,200,16.91,79.48,9.8,0.917,4007.32,2.47,1.92,28.12,28.48,38.12,39.38,48.42,50.43,2.12,2.13,1,103
105,Los Angeles Kings*,15-16,82,102,0.622,223,192,20,81.4,8.5,0.915,4064.78,2.3,1.87,31.82,26.08,46.87,36.37,62.54,48.06,2.54,2.12,1,102
106,Minnesota Wild*,15-16,82,87,0.53,213,204,18.53,77.94,9,0.913,4088.97,2.07,2.02,27.26,28.03,37.86,40.38,50.23,55.29,2.07,2.07,1,87
107,Montreal Canadiens,15-16,82,82,0.5,216,233,16.22,81.89,8.6,0.903,4050.95,2.28,2.37,30.19,28.66,41,39.12,56.48,53.39,2.29,2.25,0,82
108,Nashville Predators*,15-16,82,96,0.585,224,213,19.69,81.22,8.9,0.905,4040.85,2.15,2.21,29.52,26.85,41.5,36.41,55.77,50.97,2.18,1.97,1,96
109,New Jersey Devils,15-16,82,84,0.512,182,202,19.92,82.95,9.1,0.914,4016.63,1.72,2.02,23.48,27.34,32.65,37.02,42.33,49.49,1.94,2.14,0,84
110,New York Islanders*,15-16,82,100,0.61,227,211,18.78,84.48,9.4,0.915,4173.65,2.36,2.21,28.42,29.61,39.98,40.67,55.02,56.41,2.43,2.53,1,100
